name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;229;0;354;3073;1879;3073;1879;0
header;198;97;198;137;1874;137;1874;97
A;1035;162;1035;190;1058;190;1058;162
A;1384;348;1384;353;1389;353;1389;348
A;1823;560;1823;560;1824;560;1824;560
D;877;619;877;639;891;639;891;619
B;1040;849;1040;877;1060;877;1060;849
A;1673;1485;1673;1489;1679;1489;1679;1485
A;1670;1498;1670;1508;1677;1508;1677;1498
C;1044;1517;1044;1548;1067;1548;1067;1517
A;1471;1525;1471;1550;1485;1550;1485;1525
B;326;1943;326;1960;339;1960;339;1943
B;821;2036;821;2055;836;2055;836;2036
D;1029;2142;1029;2153;1036;2153;1036;2142
D;1050;2345;1050;2374;1073;2374;1073;2345
B;1027;2580;1027;2599;1042;2599;1042;2580
A;1636;2810;1636;2813;1640;2813;1640;2810
